instance,subset,path,dimension,bks,bks_routes,cost,gap_pct,routes,iterations,time,time_limit,seed,feasible,mode,status,error,wall_time
Ghent1,AGS,cvrplib/AGS/Ghent1.vrp,10001,469531.0,485,2670407.0,468.73923127546425,485,0,0.2364993159999358,0.0,0,True,sweep_construction_only,ok,,0.31010915499973635
Ghent2,AGS,cvrplib/AGS/Ghent2.vrp,11001,257749.0,110,1346678.0,422.4765178526396,110,0,0.4565059320002547,0.0,0,True,sweep_construction_only,ok,,0.6316005509997922
Flanders2,AGS,cvrplib/AGS/Flanders2.vrp,30001,4373244.0,256,31882121.0,629.02680481583,256,0,1.3697783070001606,0.0,0,True,sweep_construction_only,ok,,1.4713001629997962
Leuven1,AGS,cvrplib/AGS/Leuven1.vrp,3001,192848.0,203,890421.0,361.72166680494485,203,0,0.025802473000112514,0.0,0,True,sweep_construction_only,ok,,0.5653566470000442
Leuven2,AGS,cvrplib/AGS/Leuven2.vrp,4001,111395.0,46,992390.0,790.8748148480632,46,0,0.003845395000098506,0.0,0,True,sweep_construction_only,ok,,0.678608415000781
B-n31-k5,B,cvrplib/B/B-n31-k5.vrp,31,672.0,5,677.0,0.744047619047619,5,309,1.0031685280000602,1.0,0,True,clarke_wright_alns_vns,ok,,1.145657181000388
B-n34-k5,B,cvrplib/B/B-n34-k5.vrp,34,788.0,5,788.0,0.0,5,349,1.0015834870000617,1.0,0,True,clarke_wright_alns_vns,ok,,1.1380596170001809
B-n35-k5,B,cvrplib/B/B-n35-k5.vrp,35,955.0,5,955.0,0.0,5,263,1.009747084999617,1.0,0,True,clarke_wright_alns_vns,ok,,1.144704332999936
B-n38-k6,B,cvrplib/B/B-n38-k6.vrp,38,805.0,6,805.0,0.0,6,167,1.0041862500002026,1.0,0,True,clarke_wright_alns_vns,ok,,1.138147535999451
B-n39-k5,B,cvrplib/B/B-n39-k5.vrp,39,549.0,5,549.0,0.0,5,208,1.000980066000011,1.0,0,True,clarke_wright_alns_vns,ok,,1.0836179309999352
B-n41-k6,B,cvrplib/B/B-n41-k6.vrp,41,829.0,6,830.0,0.12062726176115801,6,215,1.0091720579994217,1.0,0,True,clarke_wright_alns_vns,ok,,1.1545473679998395
B-n43-k6,B,cvrplib/B/B-n43-k6.vrp,43,742.0,6,742.0,0.0,6,148,1.0024419539995506,1.0,0,True,clarke_wright_alns_vns,ok,,1.070556607999606
B-n44-k7,B,cvrplib/B/B-n44-k7.vrp,44,909.0,7,909.0,0.0,7,155,1.0020481110004766,1.0,0,True,clarke_wright_alns_vns,ok,,1.1365848210007243
B-n45-k5,B,cvrplib/B/B-n45-k5.vrp,45,751.0,5,751.0,0.0,5,250,1.0027561209999476,1.0,0,True,clarke_wright_alns_vns,ok,,1.0662920109998595
B-n45-k6,B,cvrplib/B/B-n45-k6.vrp,45,678.0,6,680.0,0.2949852507374631,6,179,1.0033669989998089,1.0,0,True,clarke_wright_alns_vns,ok,,1.104220135000105
B-n50-k7,B,cvrplib/B/B-n50-k7.vrp,50,741.0,7,741.0,0.0,7,108,1.029092947999743,1.0,0,True,clarke_wright_alns_vns,ok,,1.1163799460000519
B-n50-k8,B,cvrplib/B/B-n50-k8.vrp,50,1312.0,8,1325.0,0.9908536585365854,8,102,1.004571292000037,1.0,0,True,clarke_wright_alns_vns,ok,,1.114119608000692
B-n51-k7,B,cvrplib/B/B-n51-k7.vrp,51,1032.0,7,1038.0,0.5813953488372093,7,165,1.0045886569996583,1.0,0,True,clarke_wright_alns_vns,ok,,1.121485068999391
B-n52-k7,B,cvrplib/B/B-n52-k7.vrp,52,747.0,7,748.0,0.13386880856760375,7,109,1.0154682459997275,1.0,0,True,clarke_wright_alns_vns,ok,,1.0787308819999453
B-n56-k7,B,cvrplib/B/B-n56-k7.vrp,56,707.0,7,714.0,0.9900990099009901,7,77,1.003616031999627,1.0,0,True,clarke_wright_alns_vns,ok,,1.0680835880002633
B-n57-k7,B,cvrplib/B/B-n57-k7.vrp,57,1153.0,7,1394.0,20.901994796183867,7,44,1.0454246389999753,1.0,0,True,clarke_wright_alns_vns,ok,,1.1374556760001724
B-n57-k9,B,cvrplib/B/B-n57-k9.vrp,57,1598.0,9,1630.0,2.002503128911139,9,74,1.001798520000193,1.0,0,True,clarke_wright_alns_vns,ok,,1.1246036409993394
B-n63-k10,B,cvrplib/B/B-n63-k10.vrp,63,1496.0,10,1548.0,3.4759358288770055,10,76,1.0159965150005519,1.0,0,True,clarke_wright_alns_vns,ok,,1.108246298999802
B-n64-k9,B,cvrplib/B/B-n64-k9.vrp,64,861.0,9,913.0,6.039488966318235,9,53,1.035105380999994,1.0,0,True,clarke_wright_alns_vns,ok,,1.0916725300003236
B-n66-k9,B,cvrplib/B/B-n66-k9.vrp,66,1316.0,9,1332.0,1.21580547112462,9,51,1.0348473909998575,1.0,0,True,clarke_wright_alns_vns,ok,,1.102265356999851
B-n67-k10,B,cvrplib/B/B-n67-k10.vrp,67,1032.0,10,1081.0,4.748062015503876,10,47,1.0167889449994618,1.0,0,True,clarke_wright_alns_vns,ok,,1.0887004679998427
