instance,subset,path,dimension,bks,bks_routes,cost,gap_pct,routes,iterations,time,time_limit,seed,feasible,mode,status,error,wall_time
Flanders2,AGS,cvrplib/AGS/Flanders2.vrp,30001,4373244.0,256,83428095.0,1807.6935794115307,257,0,0.03882271499969647,0.0,0,True,sweep_construction_only,ok,,0.18847967400006382
Ghent1,AGS,cvrplib/AGS/Ghent1.vrp,10001,469531.0,485,2504769.0,433.4619013441072,493,0,0.01305119900007412,0.0,0,True,sweep_construction_only,ok,,0.11463651299982303
Ghent2,AGS,cvrplib/AGS/Ghent2.vrp,11001,257749.0,110,3135687.0,1116.5661166483671,111,0,0.012106128000141325,0.0,0,True,sweep_construction_only,ok,,0.08474082900011126
Leuven1,AGS,cvrplib/AGS/Leuven1.vrp,3001,192848.0,203,753685.0,290.8181573052352,208,0,0.0029903950003244972,0.0,0,True,sweep_construction_only,ok,,0.6159689360001721
Leuven2,AGS,cvrplib/AGS/Leuven2.vrp,4001,111395.0,46,992390.0,790.8748148480632,46,0,0.008317411000007269,0.0,0,True,sweep_construction_only,ok,,1.1675531400001091
B-n31-k5,B,cvrplib/B/B-n31-k5.vrp,31,672.0,5,673.0,0.1488095238095238,5,352,1.0046320090000336,1.0,0,True,clarke_wright_alns_vns,ok,,1.0693111179998596
B-n34-k5,B,cvrplib/B/B-n34-k5.vrp,34,788.0,5,788.0,0.0,5,233,1.0000154340000336,1.0,0,True,clarke_wright_alns_vns,ok,,1.128621012000167
B-n35-k5,B,cvrplib/B/B-n35-k5.vrp,35,955.0,5,955.0,0.0,5,251,1.0005586870001935,1.0,0,True,clarke_wright_alns_vns,ok,,1.0631370300002345
B-n38-k6,B,cvrplib/B/B-n38-k6.vrp,38,805.0,6,805.0,0.0,6,193,1.0005826050000906,1.0,0,True,clarke_wright_alns_vns,ok,,1.1174472190000415
B-n39-k5,B,cvrplib/B/B-n39-k5.vrp,39,549.0,5,549.0,0.0,5,110,1.006974517999879,1.0,0,True,clarke_wright_alns_vns,ok,,1.142658325999946
B-n41-k6,B,cvrplib/B/B-n41-k6.vrp,41,829.0,6,830.0,0.12062726176115801,6,225,1.0193252130002293,1.0,0,True,clarke_wright_alns_vns,ok,,1.088840275000166
B-n43-k6,B,cvrplib/B/B-n43-k6.vrp,43,742.0,6,742.0,0.0,6,163,1.0024367329997403,1.0,0,True,clarke_wright_alns_vns,ok,,1.1310117739999441
B-n44-k7,B,cvrplib/B/B-n44-k7.vrp,44,909.0,7,909.0,0.0,7,186,1.0056594289999339,1.0,0,True,clarke_wright_alns_vns,ok,,1.1339455320003253
B-n45-k5,B,cvrplib/B/B-n45-k5.vrp,45,751.0,5,751.0,0.0,5,212,1.0132751299997835,1.0,0,True,clarke_wright_alns_vns,ok,,1.1370599799997763
B-n45-k6,B,cvrplib/B/B-n45-k6.vrp,45,678.0,6,679.0,0.14749262536873156,6,161,1.00511165800026,1.0,0,True,clarke_wright_alns_vns,ok,,1.1348772970000027
B-n50-k7,B,cvrplib/B/B-n50-k7.vrp,50,741.0,7,741.0,0.0,7,120,1.00366811899994,1.0,0,True,clarke_wright_alns_vns,ok,,1.058724409000206
B-n50-k8,B,cvrplib/B/B-n50-k8.vrp,50,1312.0,8,1321.0,0.6859756097560976,8,114,1.00530182600005,1.0,0,True,clarke_wright_alns_vns,ok,,1.1382263649998094
B-n51-k7,B,cvrplib/B/B-n51-k7.vrp,51,1032.0,7,1018.0,-1.3565891472868217,8,139,1.0003435600001467,1.0,0,True,clarke_wright_alns_vns,ok,,1.086381185999926
B-n52-k7,B,cvrplib/B/B-n52-k7.vrp,52,747.0,7,747.0,0.0,7,115,1.002328045000013,1.0,0,True,clarke_wright_alns_vns,ok,,1.0743389569997817
B-n56-k7,B,cvrplib/B/B-n56-k7.vrp,56,707.0,7,714.0,0.9900990099009901,7,64,1.002682661000108,1.0,0,True,clarke_wright_alns_vns,ok,,1.061807958999907
B-n57-k7,B,cvrplib/B/B-n57-k7.vrp,57,1153.0,7,1140.0,-1.1274934952298352,8,67,1.0168675840000105,1.0,0,True,clarke_wright_alns_vns,ok,,1.1207717490001414
B-n57-k9,B,cvrplib/B/B-n57-k9.vrp,57,1598.0,9,1630.0,2.002503128911139,9,38,1.0068797270000687,1.0,0,True,clarke_wright_alns_vns,ok,,1.1276884490002885
B-n63-k10,B,cvrplib/B/B-n63-k10.vrp,63,1496.0,10,1548.0,3.4759358288770055,10,72,1.0253194619999704,1.0,0,True,clarke_wright_alns_vns,ok,,1.0847955139997794
B-n64-k9,B,cvrplib/B/B-n64-k9.vrp,64,861.0,9,900.0,4.529616724738676,10,55,1.0074538789999679,1.0,0,True,clarke_wright_alns_vns,ok,,1.1310226900000089
B-n66-k9,B,cvrplib/B/B-n66-k9.vrp,66,1316.0,9,1346.0,2.2796352583586628,9,62,1.009695825000108,1.0,0,True,clarke_wright_alns_vns,ok,,1.0956106919998092
B-n67-k10,B,cvrplib/B/B-n67-k10.vrp,67,1032.0,10,1076.0,4.263565891472868,10,41,1.0002677410002434,1.0,0,True,clarke_wright_alns_vns,ok,,1.1375160479997248
B-n68-k9,B,cvrplib/B/B-n68-k9.vrp,68,1272.0,9,1296.0,1.8867924528301887,9,37,1.0202499339998212,1.0,0,True,clarke_wright_alns_vns,ok,,1.1420134750001125
B-n78-k10,B,cvrplib/B/B-n78-k10.vrp,78,1221.0,10,1251.0,2.457002457002457,11,37,1.0072369479998997,1.0,0,True,clarke_wright_alns_vns,ok,,1.1338522220003142
CMT1,CMT,cvrplib/CMT/CMT1.vrp,51,524.611,5,524.6111466425075,2.7952617749588282e-05,5,203,1.0066224309998688,1.0,0,True,clarke_wright_alns_vns,ok,,1.1408730390003257
CMT10,CMT,cvrplib/CMT/CMT10.vrp,200,1395.85,18,1379.5100632157316,-1.1706083593701526,17,2,1.2013338419997126,1.0,0,True,clarke_wright_alns_vns,ok,,1.2607683960000031
CMT11,CMT,cvrplib/CMT/CMT11.vrp,121,1042.12,7,1051.5258109728836,0.9025650570839949,7,16,1.0228498110000146,1.0,0,True,clarke_wright_alns_vns,ok,,1.0809804149998854
CMT12,CMT,cvrplib/CMT/CMT12.vrp,101,819.558,10,821.9988601083345,0.29782640256510273,10,13,1.0487960020000173,1.0,0,True,clarke_wright_alns_vns,ok,,1.108350524999878
CMT13,CMT,cvrplib/CMT/CMT13.vrp,121,1541.14,11,1051.5258109728836,-31.769611393326784,7,16,1.0580194630001643,1.0,0,True,clarke_wright_alns_vns,ok,,1.1182047350002904
CMT14,CMT,cvrplib/CMT/CMT14.vrp,101,866.365,11,821.9988601083345,-5.12095247287985,10,13,1.001495702000284,1.0,0,True,clarke_wright_alns_vns,ok,,1.063293921999957
CMT2,CMT,cvrplib/CMT/CMT2.vrp,76,835.262,10,865.1727771364054,3.5810053775229207,10,58,1.0166456759998255,1.0,0,True,clarke_wright_alns_vns,ok,,1.0954054440003347
CMT3,CMT,cvrplib/CMT/CMT3.vrp,101,826.137,8,862.5041917296159,4.402077588779575,8,15,1.0356364509998457,1.0,0,True,clarke_wright_alns_vns,ok,,1.0919076410000343
CMT4,CMT,cvrplib/CMT/CMT4.vrp,151,1028.42,12,1078.7825709796102,4.897082026760483,12,4,1.1735071170000992,1.0,0,True,clarke_wright_alns_vns,ok,,1.2297044639999513
CMT5,CMT,cvrplib/CMT/CMT5.vrp,200,1291.289144,16,1379.5100632157316,6.832003476963449,17,2,1.2564232250001623,1.0,0,True,clarke_wright_alns_vns,ok,,1.3203587210000478
CMT6,CMT,cvrplib/CMT/CMT6.vrp,51,555.43,6,524.6111466425075,-5.5486475987059505,5,232,1.0088195620000988,1.0,0,True,clarke_wright_alns_vns,ok,,1.081817153999964
CMT7,CMT,cvrplib/CMT/CMT7.vrp,76,909.675,11,857.2622352537248,-5.76170222840851,10,60,1.0073265239998364,1.0,0,True,clarke_wright_alns_vns,ok,,1.0846593530000064
CMT8,CMT,cvrplib/CMT/CMT8.vrp,101,865.945,9,862.5041917296159,-0.3973472068531137,8,18,1.0186228370002937,1.0,0,True,clarke_wright_alns_vns,ok,,1.1386663399998724
CMT9,CMT,cvrplib/CMT/CMT9.vrp,151,1162.55,14,1091.7563460259646,-6.089514771324705,12,2,1.5807931909998842,1.0,0,True,clarke_wright_alns_vns,ok,,1.6991072650002934
E-n101-k14,E,cvrplib/E/E-n101-k14.vrp,101,1067.0,14,1095.0,2.6241799437675724,14,21,1.0044756209999832,1.0,0,True,clarke_wright_alns_vns,ok,,1.0663169909998942
E-n101-k8,E,cvrplib/E/E-n101-k8.vrp,101,815.0,8,850.0,4.294478527607362,8,17,1.0108201539997026,1.0,0,True,clarke_wright_alns_vns,ok,,1.1372890550001102
E-n22-k4,E,cvrplib/E/E-n22-k4.vrp,22,375.0,4,375.0,0.0,4,1478,1.0004887720001534,1.0,0,True,clarke_wright_alns_vns,ok,,1.0559342279998418
E-n23-k3,E,cvrplib/E/E-n23-k3.vrp,23,569.0,3,569.0,0.0,3,650,1.0005565809997279,1.0,0,True,clarke_wright_alns_vns,ok,,1.069701071000054
E-n30-k3,E,cvrplib/E/E-n30-k3.vrp,30,534.0,3,503.0,-5.805243445692884,4,389,1.0022835129998384,1.0,0,True,clarke_wright_alns_vns,ok,,1.1145102760001464
E-n33-k4,E,cvrplib/E/E-n33-k4.vrp,33,835.0,4,835.0,0.0,4,233,1.0013539290002882,1.0,0,True,clarke_wright_alns_vns,ok,,1.125153986999976
E-n51-k5,E,cvrplib/E/E-n51-k5.vrp,51,521.0,5,527.0,1.1516314779270633,5,208,1.0065440710000075,1.0,0,True,clarke_wright_alns_vns,ok,,1.0682389920002606
E-n76-k10,E,cvrplib/E/E-n76-k10.vrp,76,830.0,10,860.0,3.614457831325301,11,30,1.0010381289998804,1.0,0,True,clarke_wright_alns_vns,ok,,1.1390571299998555
E-n76-k14,E,cvrplib/E/E-n76-k14.vrp,76,1021.0,14,1057.0,3.525954946131244,15,30,1.0426926380000623,1.0,0,True,clarke_wright_alns_vns,ok,,1.1714141030001883
E-n76-k7,E,cvrplib/E/E-n76-k7.vrp,76,682.0,7,696.0,2.0527859237536656,7,20,1.0024285699996653,1.0,0,True,clarke_wright_alns_vns,ok,,1.1287551569998868
E-n76-k8,E,cvrplib/E/E-n76-k8.vrp,76,735.0,8,743.0,1.0884353741496597,8,64,1.0291964809998717,1.0,0,True,clarke_wright_alns_vns,ok,,1.1507415880000735
F-n45-k4,F,cvrplib/F/F-n45-k4.vrp,45,724.0,4,727.7463291782954,0.5174487815325076,4,126,1.006164489999719,1.0,0,True,clarke_wright_alns_vns,ok,,1.1330320659999416
F-n135-k7,F,cvrplib/F/F-n135-k7.vrp,135,1162.0,7,1183.0007264403462,1.8072914320435605,7,3,1.1863442000003488,1.0,0,True,clarke_wright_alns_vns,ok,,1.3047055369997906
F-n72-k4,F,cvrplib/F/F-n72-k4.vrp,72,237.0,4,245.0,3.375527426160337,4,45,1.0205675219999648,1.0,0,True,clarke_wright_alns_vns,ok,,1.1604485500001829
M-n101-k10,M,cvrplib/M/M-n101-k10.vrp,101,820.0,10,821.0,0.12195121951219512,10,14,1.0224946009998348,1.0,0,True,clarke_wright_alns_vns,ok,,1.127250885000194
M-n121-k7,M,cvrplib/M/M-n121-k7.vrp,121,1034.0,7,1043.0,0.8704061895551257,7,13,1.1115160419999484,1.0,0,True,clarke_wright_alns_vns,ok,,1.2471323169997959
M-n151-k12,M,cvrplib/M/M-n151-k12.vrp,151,1015.0,12,1112.0,9.556650246305418,12,2,1.266525546000139,1.0,0,True,clarke_wright_alns_vns,ok,,1.3940957509998952
M-n200-k16,M,cvrplib/M/M-n200-k16.vrp,200,1274.0,16,1357.0,6.5149136577708004,17,2,1.1931883420002123,1.0,0,True,clarke_wright_alns_vns,ok,,1.3372265559996777
M-n200-k17,M,cvrplib/M/M-n200-k17.vrp,200,1275.0,17,1357.0,6.431372549019608,17,2,1.3136684510000123,1.0,0,True,clarke_wright_alns_vns,ok,,1.3754951350001647
P-n101-k4,P,cvrplib/P/P-n101-k4.vrp,101,681.0,4,701.0,2.936857562408223,4,18,1.022157759000038,1.0,0,True,clarke_wright_alns_vns,ok,,1.1243871800002125
P-n16-k8,P,cvrplib/P/P-n16-k8.vrp,16,450.0,8,450.0,0.0,8,2250,1.0040332680000574,1.0,0,True,clarke_wright_alns_vns,ok,,1.1308359700001347
