root	parent_relative	subtree	allocated_bytes	git_commit	git_source	content_sha256	restore_command_template
v04-warehouse-longrun-regression-3x24r-20260616T071323Z	rep01/on_compact/campaign/champions/champion_v1	data	9682944	f384884d4fe45d5f87cabdab193054b1f66e9c79	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v04-warehouse-longrun-regression-3x24r-20260616T071323Z	rep01/on_compact/campaign/champions/champion_v1	tests	106496	f384884d4fe45d5f87cabdab193054b1f66e9c79	surrogate/tests	6421b91de97dcff6251ebfc4a2c6fac826b3bf9e622f0f3a9a3b51adcbb561a5	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v04-warehouse-longrun-regression-3x24r-20260616T071323Z	rep01/on_compact/campaign/champions/champion_v2	data	9682944	f384884d4fe45d5f87cabdab193054b1f66e9c79	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v04-warehouse-longrun-regression-3x24r-20260616T071323Z	rep01/on_compact/campaign/champions/champion_v2	tests	106496	f384884d4fe45d5f87cabdab193054b1f66e9c79	surrogate/tests	6421b91de97dcff6251ebfc4a2c6fac826b3bf9e622f0f3a9a3b51adcbb561a5	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v04-warehouse-longrun-regression-3x24r-20260616T071323Z	rep01/on_compact/campaign/weight_opt_v2	data	9682944	f384884d4fe45d5f87cabdab193054b1f66e9c79	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v04-warehouse-longrun-regression-3x24r-20260616T071323Z	rep01/on_compact/campaign/weight_opt_v2	tests	106496	f384884d4fe45d5f87cabdab193054b1f66e9c79	surrogate/tests	6421b91de97dcff6251ebfc4a2c6fac826b3bf9e622f0f3a9a3b51adcbb561a5	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v04-warehouse-longrun-regression-3x24r-20260616T071323Z	rep01/on_compact/campaign/workspaces/268be87d-e742-4b14-8500-849c7649bfee.checkpoint.4fc3ed6e	data	9682944	f384884d4fe45d5f87cabdab193054b1f66e9c79	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v04-warehouse-longrun-regression-3x24r-20260616T071323Z	rep01/on_compact/campaign/workspaces/268be87d-e742-4b14-8500-849c7649bfee.checkpoint.4fc3ed6e	tests	106496	f384884d4fe45d5f87cabdab193054b1f66e9c79	surrogate/tests	6421b91de97dcff6251ebfc4a2c6fac826b3bf9e622f0f3a9a3b51adcbb561a5	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v04-warehouse-longrun-regression-3x24r-20260616T071323Z	rep01/on_compact/campaign/workspaces/268be87d-e742-4b14-8500-849c7649bfee.checkpoint.f7d8f67d	data	9682944	f384884d4fe45d5f87cabdab193054b1f66e9c79	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
v04-warehouse-longrun-regression-3x24r-20260616T071323Z	rep01/on_compact/campaign/workspaces/268be87d-e742-4b14-8500-849c7649bfee.checkpoint.f7d8f67d	tests	106496	f384884d4fe45d5f87cabdab193054b1f66e9c79	surrogate/tests	6421b91de97dcff6251ebfc4a2c6fac826b3bf9e622f0f3a9a3b51adcbb561a5	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
