root	parent_relative	subtree	allocated_bytes	git_commit	git_source	content_sha256	restore_command_template
sprint-f	f1/champions/champion_v2	data	9715712	8fd31470c6729c3d5414a26b7bf570621824f134	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
sprint-f	f1/champions/champion_v3	data	9715712	8fd31470c6729c3d5414a26b7bf570621824f134	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
sprint-f	f1/weight_opt_v3	data	9715712	8fd31470c6729c3d5414a26b7bf570621824f134	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
sprint-f	f1/workspaces/c8bb66b1-1988-4a9c-9f92-67788a4b6613	data	9715712	8fd31470c6729c3d5414a26b7bf570621824f134	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
sprint-f	f1/workspaces/d083912f-ccc9-4e2b-b17e-a7454dbcf1b5	data	9715712	8fd31470c6729c3d5414a26b7bf570621824f134	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
sprint-f	f2/champions/champion_v2	data	9715712	8fd31470c6729c3d5414a26b7bf570621824f134	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
sprint-f	f2/weight_opt_v2	data	9715712	8fd31470c6729c3d5414a26b7bf570621824f134	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
sprint-f	f2/workspaces/101ae2d4-8d13-47d5-b81a-6e52783d0944	data	9715712	8fd31470c6729c3d5414a26b7bf570621824f134	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
sprint-f	f2/workspaces/251119c1-65c3-4537-baea-d7e7cccba024	data	9715712	8fd31470c6729c3d5414a26b7bf570621824f134	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
sprint-f	f3/workspaces/4263897b-daa9-4750-8489-6e36de583b68	data	9715712	8fd31470c6729c3d5414a26b7bf570621824f134	surrogate/data	e39d71899d6b96e6280b4ad0d8207960c6a393f0e0d6e35b5ad77e854d361ea3	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
sprint-f	f1/champions/champion_v2	tests	143360	8fd31470c6729c3d5414a26b7bf570621824f134	surrogate/tests	a8aca63e8861d5bb9b04034acaa553d4fa38b212e6ecb639d8eeff38805641af	git -C {repo} archive {git_commit} {git_source} | tar -x -C {experiment_root}/{root}/{parent_relative} --strip-components=1
